108,Aubri Ibrag Sana'a Shaik Miah Madden Mercy Cornwall Georgia-May Davis Ryan Harrison Josh Heuston Alexander Grant
109,Úrsula Corberó Itziar Ituño Álvaro Morte Paco Tous Enrique Arce Pedro Alonso María Pedraza Alba Flores Miguel Herrán Jaime Lorente Esther Acebo Darko Peric Kiti Mánver
110,
111,Liam Mitchell Dee Bradley Baker Grey Griffin Josh McDermitt Kari Wahlgren Judy Alice Lee Ali Mawji
112,Michael Keaton Stanley Tucci Amy Ryan Shunori Ramanathan Ato Blankson-Wood Tate Donovan Laura Benanti Chris Tardio
113,Victoria Justice Midori Francis Robyn Scott Adam Garcia Timothy Renouf Gloria Garcia Myfanwy Waring Spencer Sutherland
114,Madhuri Dixit Shah Rukh Khan Tinnu Anand Johny Lever Kalpana Iyer Himani Shivpuri Sudha Chandran Beena Kiran Kumar
115,Abbie Cornish Ben Whishaw Paul Schneider Kerry Fox Edie Martin Thomas Brodie-Sangster Claudie Blakley Gerard Monaco Antonia Campbell-Hughes Samuel Roukin
116,Krrish Chhabria Hetal Gada Vipin Sharma Gulfam Khan Suresh Menon Vijay Maurya Rajiv Lakshman Ninad Kamat
117,
118,Akshay Oberoi Pankaj Tripathi Ragini Khanna Aamir Bashir Shalini Vatsa Ashish Verma
119,Janine Gutierrez JC Santos Victor Anastacio Yesh Burce Lotlot De Leon
120,Jon Allen Kellen Goff Joe Hernandez Kaiji Tang
121,Lee Ji-eun Yeo Jin-goo Shin Jung-geun Seo Yi-sook Bae Hae-sun Pyo Ji-hoon Cho Hyun-chul Kang Hong-suk Lee Do-hyun Lee Tae-seon Kang Mina Park You-na Oh Ji-ho
122,Meg Ryan Mark Ruffalo Jennifer Jason Leigh Nick Damici Sharrieff Pugh Kevin Bacon Yaani King Mondschein Heather Litteer
123,
124,
125,Sean Hayes Wanda Sykes Laurie Metcalf David Harbour Gary Cole Patti Harrison Matt Rogers
126,Aadil Khan Sadia Khateeb Zain Khan Durrani Priyanshu Chatterjee Bhavna Chauhan Ashwin Dhar Farid Azad Khan Saghar Sehrai
127,Hilary Duff Chad Michael Murray Jennifer Coolidge Dan Byrd Regina King Julie Gonzalo Lin Shaye Madeline Zima Andrea Avery Mary Pat Gleason Paul Rodriguez Whip Hubley Kevin Kilner Erica Hubbard Simon Helberg
128,Glenn Close Terence Stamp Max Irons Gillian Anderson Christina Hendricks Stefanie Martini Julian Sands Honor Kneafsey Christian McKay Amanda Abbington
129,Robert Redford Jennifer Lopez Morgan Freeman Josh Lucas Damian Lewis Camryn Manheim Becca Gardner Lynda Boyd Rob Hayter P. Lynn Johnson
130,America Young Amber May Giselle Fernandez Alejandro Saab Dinora Walcott
131,Harrison Ford Rutger Hauer Sean Young Edward James Olmos M. Emmet Walsh Daryl Hannah William Sanderson Brion James Joe Turkel Joanna Cassidy James Hong Morgan Paull
132,Tseng Yun-fan Kao Yun-shuo Chiang Ching-yen Meng Ching-fu Huang Bai-wei Ma Kuo-yao Chen Yen-chun Sun Ke-fang Kai Yang-niu Chen Yu-wen Nick Liao Lin Kai-ling Mickey Huang Liu Kuan-ting Jiang Du-hui
133,Sharlto Copley Hugh Jackman Sigourney Weaver Dev Patel Ninja Yo-Landi Visser Jose Pablo Cantillo Brandon Auret Johnny Selema Maurice Carpede
134,Harrison Ford Willem Dafoe Anne Archer Joaquim de Almeida Henry Czerny Harris Yulin Donald Moffat Miguel Sandoval Benjamin Bratt Dean Jones Thora Birch James Earl Jones Raymond Cruz
135,Sylvester Stallone John Lithgow Michael Rooker Janine Turner Rex Linn Caroline Goodall Leon Craig Fairbrass Ralph Waite Max Perlich Paul Winfield
136,Jude Law Nicole Kidman Renée Zellweger Eileen Atkins Brendan Gleeson Philip Seymour Hoffman Natalie Portman Giovanni Ribisi Donald Sutherland Ray Winstone
137,Paul Hogan Linda Kozlowski Jere Burns Jonathan Banks Aida Turturro Alec Wilson Gerry Skilton Steve Rackman Serge Cockburn Paul Rodriguez Mark Adair-Rios Tiriel Mora Grant Piro Mike Tyson
138,Channing Tatum Amanda Seyfried Richard Jenkins Henry Thomas D.J. Cotrona Cullen Moss Gavin McCulley Jose Lucena Jr. Keith Robinson Scott Porter
